City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,City Country,City Date
sao filipe,14.9,-24.5,78.69,88,6,10.83,CV,1567658534
sur,22.57,59.53,95.97,32,74,5.99,OM,1567658495
butaritari,3.07,172.79,84.45,73,100,8.61,KI,1567658470
touros,-5.2,-35.46,73.4,94,40,4.7,BR,1567658177
poya,-21.35,165.16,68.97,64,33,11.83,NC,1567658651
arraial do cabo,-22.97,-42.02,69.33,93,100,14.58,BR,1567658566
alihe,50.57,123.73,66.81,86,100,3.78,CN,1567658651
jiaozuo,35.21,113.25,80.49,29,0,8.95,CN,1567658652
yellowknife,62.45,-114.38,51.8,71,75,4.7,CA,1567658490
tutoia,-2.76,-42.27,73.29,90,1,4.68,BR,1567658652
cayenne,4.94,-52.33,75.2,94,62,4.25,GF,1567658466
ukiah,39.15,-123.21,66.0,82,0,0.65,US,1567658498
manacapuru,-3.3,-60.62,82.4,78,0,5.82,BR,1567658653
nikolskoye,59.7,30.79,54.0,93,0,2.24,RU,1567658344
georgetown,6.8,-58.16,75.2,94,20,4.7,GY,1567658407
san patricio,-26.98,-56.83,49.17,59,99,9.8,PY,1567658544
busselton,-33.64,115.35,60.01,35,0,5.55,AU,1567658460
new norfolk,-42.78,147.06,53.6,50,40,10.29,AU,1567658477
lima,-12.06,-77.04,60.8,87,90,10.29,PE,1567658675
qaanaaq,77.48,-69.36,28.65,51,3,8.01,GL,1567658465
hermanus,-34.42,19.24,57.0,62,1,10.0,ZA,1567658463
kapaa,22.08,-159.32,87.8,70,75,18.34,US,1567658485
walvis bay,-22.95,14.51,55.4,82,90,4.7,NA,1567658676
khatanga,71.98,102.47,41.43,67,100,16.22,RU,1567658469
cherskiy,68.75,161.3,54.75,36,0,7.61,RU,1567658468
bambous virieux,-20.34,57.76,75.99,73,40,12.75,MU,1567658498
victoria,5.28,115.24,91.4,74,75,2.24,BN,1567658357
komatipoort,-25.43,31.96,64.0,80,45,4.76,MZ,1567658676
yamada,36.58,137.08,91.99,62,75,8.05,JP,1567658676
hirara,24.8,125.28,80.6,100,75,18.34,JP,1567658579
marawi,8.0,124.29,82.99,82,100,4.0,PH,1567658677
salta,-24.79,-65.41,53.6,71,90,3.36,AR,1567658537
ostrovnoy,68.05,39.51,56.55,67,0,17.67,RU,1567658479
avarua,-21.21,-159.78,73.4,64,99,17.22,CK,1567658459
lompoc,34.64,-120.46,66.99,93,90,4.7,US,1567658403
mufumbwe,-13.68,24.8,67.89,36,21,8.79,ZM,1567658678
huilong,31.15,106.5,79.41,70,79,5.23,CN,1567658678
torbay,47.66,-52.73,66.0,100,90,12.75,CA,1567658512
vila franca do campo,37.72,-25.43,71.01,77,20,9.17,PT,1567658555
coihaique,-45.58,-72.07,33.8,47,0,5.82,CL,1567658511
umm lajj,25.02,37.27,83.37,83,96,12.39,SA,1567658597
formosa,-15.55,-47.33,64.65,32,0,3.06,BR,1567658444
chernyshevskiy,63.01,112.47,45.21,91,100,1.54,RU,1567658679
hithadhoo,-0.6,73.08,83.19,78,100,14.23,MV,1567658459
barrow,-38.31,-60.23,32.43,89,52,3.87,AR,1567658474
honningsvag,70.98,25.97,48.2,81,0,8.05,NO,1567658593
saldanha,41.42,-6.55,58.89,58,0,7.36,PT,1567658511
sirjan,29.44,55.67,88.77,17,0,4.18,IR,1567658680
caxito,-22.65,-42.51,62.49,97,100,1.77,BR,1567658680
el cocuy,8.3,-71.95,75.27,82,84,5.03,VE,1567658680
naze,5.43,7.07,73.65,96,98,3.04,NG,1567658343
severo-kurilsk,50.68,156.12,50.25,87,19,12.3,RU,1567658502
husavik,50.56,-96.99,63.0,73,100,7.0,CA,1567658520
duvan,55.69,57.9,50.43,96,98,3.15,RU,1567658681
pervomaysk,54.87,43.81,59.07,66,27,4.83,RU,1567658681
kozhva,65.11,57.05,59.97,63,0,8.5,RU,1567658681
kabalo,-6.05,26.92,81.93,42,31,1.48,CD,1567658682
karasburg,-28.01,18.75,60.51,26,67,7.23,NA,1567658682
thompson,55.74,-97.86,33.8,86,20,2.17,CA,1567658481
tiksi,71.64,128.87,47.55,77,3,16.33,RU,1567658419
saint-philippe,45.36,-73.48,60.8,67,90,3.36,CA,1567658504
constitucion,23.99,-104.67,59.0,89,100,7.0,MX,1567658683
mae sai,20.44,99.89,90.0,74,75,3.36,MM,1567658683
ahipara,-35.17,173.16,55.29,81,100,44.09,NZ,1567658489
nisia floresta,-6.09,-35.21,73.4,88,40,4.7,BR,1567658577
cabra,37.47,-4.43,69.8,73,0,1.23,ES,1567658528
araouane,18.9,-3.53,89.85,36,23,13.04,ML,1567658684
nopaltepec,18.27,-96.0,84.0,72,98,2.98,MX,1567658684
vestmannaeyjar,63.44,-20.27,51.51,86,100,17.27,IS,1567658684
pelym,61.01,62.0,57.09,76,21,3.62,RU,1567658685
bilma,18.69,12.92,92.19,20,18,2.64,NE,1567658539
chimore,-16.98,-65.13,74.01,60,92,3.42,BO,1567658685
isangel,-19.55,169.27,75.2,60,40,9.17,VU,1567658539
vaini,15.34,74.49,77.0,100,75,11.41,IN,1567658473
necochea,-38.55,-58.74,41.0,65,43,1.99,AR,1567658585
upernavik,72.79,-56.15,42.69,85,99,12.08,GL,1567658493
guarapari,-20.67,-40.5,75.2,78,40,8.05,BR,1567658557
hilo,19.71,-155.08,82.4,69,75,4.7,US,1567658322
santa cruz,-6.22,-36.02,66.99,92,15,7.74,BR,1567658535
kodiak,39.95,-94.76,66.99,82,1,4.7,US,1567658455
cidreira,-30.17,-50.22,48.81,66,18,7.11,BR,1567658419
tiarei,-17.53,-149.33,80.6,74,40,8.05,PF,1567658687
port elizabeth,39.31,-74.98,77.0,88,75,5.82,US,1567658498
zyryanovsk,49.74,84.27,60.15,37,81,4.56,KZ,1567658687
vengerovo,55.68,76.74,55.11,75,32,7.58,RU,1567658687
two hills,53.71,-111.75,56.91,87,18,9.1,CA,1567658541
ust-tsilma,65.44,52.15,60.69,70,46,5.64,RU,1567658688
te anau,-45.41,167.72,46.65,78,54,3.67,NZ,1567658578
launceston,-41.43,147.14,59.0,35,46,5.82,AU,1567658415
atuona,-9.8,-139.03,79.41,75,59,14.25,PF,1567658465
cabedelo,-6.97,-34.84,71.6,100,75,4.7,BR,1567658419
shihezi,44.3,86.03,77.07,30,100,1.68,CN,1567658689
pangnirtung,66.15,-65.72,33.15,71,58,3.51,CA,1567658528
dikson,73.51,80.55,43.05,98,100,18.75,RU,1567658420
ulaanbaatar,47.92,106.92,66.2,55,75,2.24,MN,1567658690
cape town,-33.93,18.42,57.0,71,0,28.86,ZA,1567658450
sorland,67.67,12.69,44.6,93,40,4.7,NO,1567658690
emerald,-23.53,148.16,89.6,8,0,8.05,AU,1567658690
esperance,-33.86,121.89,55.4,54,75,17.22,AU,1567658353
vyshkov,52.48,31.69,46.4,93,0,4.47,RU,1567658691
alta floresta,-9.87,-56.08,74.55,37,33,1.81,BR,1567658691
klyuchi,52.25,79.17,62.85,45,100,10.71,RU,1567658692
khandyga,62.65,135.58,54.39,47,55,7.63,RU,1567658692
katsuura,33.93,134.5,84.2,88,75,6.93,JP,1567658516
bolshevik,54.01,27.57,44.6,100,20,2.24,BY,1567658692
egvekinot,66.32,-179.17,40.35,86,69,9.01,RU,1567658692
george town,5.42,100.33,89.6,55,75,11.41,MY,1567658693
clyde river,70.47,-68.59,41.0,80,90,4.7,CA,1567658519
san quintin,17.54,120.52,82.83,78,100,17.65,PH,1567658693
nador,35.17,-2.93,75.2,78,75,11.23,MA,1567658597
northam,-31.65,116.67,57.2,44,20,11.41,AU,1567658693
norman wells,65.28,-126.83,50.0,93,40,8.05,CA,1567658539
port-gentil,-0.72,8.78,75.45,87,100,13.62,GA,1567658612
naliya,23.26,68.83,84.63,80,98,10.25,IN,1567658694
tarata,-17.47,-70.03,57.2,93,90,3.36,PE,1567658694
moa,20.66,-74.95,71.67,96,31,3.87,CU,1567658695
kruisfontein,-34.0,24.73,53.31,85,100,7.47,ZA,1567658543
carnarvon,-30.97,22.13,49.71,66,100,21.0,ZA,1567658169
chengde,40.97,117.93,86.61,27,56,5.1,CN,1567658695
pevek,69.7,170.27,41.25,84,92,8.7,RU,1567658455
caravelas,-17.73,-39.27,68.07,92,11,3.67,BR,1567658325
talnakh,69.49,88.39,48.2,100,75,11.18,RU,1567658454
lagodekhi,41.83,46.28,68.0,72,75,4.7,GE,1567658696
ponta do sol,-20.63,-46.0,71.13,53,86,4.43,BR,1567658488
pisco,-13.71,-76.2,71.6,30,90,10.29,PE,1567658697
liku,-0.73,119.89,82.47,74,34,8.61,ID,1567658697
bethel,60.79,-161.76,55.4,81,75,17.22,US,1567658460
lasa,34.92,32.53,73.4,83,20,8.05,CY,1567658593
geraldton,49.72,-86.95,51.8,81,90,4.7,CA,1567658501
tsimlyansk,47.65,42.1,69.69,35,0,14.23,RU,1567658697
alofi,-19.06,-169.92,71.6,100,100,4.7,NU,1567658698
udachnyy,66.42,112.4,39.2,100,90,6.71,RU,1567658525
hualmay,-11.1,-77.61,60.51,89,34,13.06,PE,1567658698
kuching,1.56,110.34,91.4,59,75,9.17,MY,1567658699
banda aceh,5.56,95.32,83.19,78,76,15.28,ID,1567658699
sao jose da coroa grande,-8.9,-35.15,69.15,95,42,3.42,BR,1567658592
byron bay,-28.65,153.62,89.6,57,0,12.75,AU,1567658665
yulara,-25.24,130.99,87.8,8,0,11.41,AU,1567658126
leshan,29.56,103.76,75.27,80,96,3.74,CN,1567658496
arlit,18.74,7.39,93.45,26,7,7.7,NE,1567658525
neftcala,39.37,49.25,80.31,43,21,12.73,AZ,1567658700
ranau,5.95,116.67,91.4,70,75,8.05,MY,1567658700
panorama,-21.35,-51.86,72.21,74,25,5.21,BR,1567658700
mar del plata,-46.43,-67.52,31.53,58,0,7.34,AR,1567658495
dawson,39.85,-89.46,63.0,93,1,4.9,US,1567658701
zabol,31.03,61.49,80.6,28,0,33.33,IR,1567658701
chuy,-33.69,-53.46,43.59,69,33,9.6,UY,1567658531
verkhnevilyuysk,63.45,120.31,53.67,84,99,3.51,RU,1567658484
hobart,-42.88,147.33,53.6,50,40,10.29,AU,1567658286
elko,40.83,-115.76,68.0,72,90,4.7,US,1567658514
grindavik,63.84,-22.43,50.0,100,90,12.75,IS,1567658702
bandarbeyla,9.49,50.81,88.05,40,56,32.91,SO,1567658529
fonte boa,-2.51,-66.09,78.87,81,53,3.69,BR,1567658702
castro,-42.48,-73.76,32.0,84,0,4.7,CL,1567658533
lisakovsk,52.55,62.49,58.17,53,22,14.47,KZ,1567658703
airai,-8.93,125.41,79.95,53,56,5.79,TL,1567658327
chicama,-7.84,-79.15,62.6,88,90,8.05,PE,1567658703
avera,33.19,-82.53,82.4,65,1,18.34,US,1567658555
atikokan,48.76,-91.62,49.89,90,83,4.41,CA,1567658704
opuwo,-18.06,13.84,62.31,36,0,1.21,NA,1567658448
yantikovo,55.52,47.78,51.8,81,0,4.47,RU,1567658704
port hardy,50.7,-127.42,57.2,93,20,2.24,CA,1567658477
nanortalik,60.14,-45.24,40.53,90,6,0.69,GL,1567658527
poopo,-18.38,-66.97,41.61,83,99,10.78,BO,1567658705
myre,62.25,17.37,57.0,93,100,19.46,SE,1567658705
kahului,20.89,-156.47,82.4,69,40,13.87,US,1567658213
panaba,21.28,-88.27,77.97,81,0,6.35,MX,1567658705
biak,-0.91,122.88,80.13,55,80,2.24,ID,1567658429
maragogi,-9.01,-35.22,69.15,95,42,3.42,BR,1567658528
kinablangan,7.69,126.55,82.83,71,98,3.62,PH,1567658706
klaksvik,62.23,-6.59,39.2,93,0,1.12,FO,1567658707
manadhoo,5.77,73.38,82.47,77,37,7.02,MV,1567658707
kieta,-6.22,155.63,81.75,74,100,10.0,PG,1567658470
methven,-43.63,171.65,50.0,95,100,1.48,NZ,1567658535
maloy,1.0,118.1,87.33,62,69,7.18,ID,1567658708
nanao,37.05,136.95,91.99,62,75,4.7,JP,1567658708
sarany,58.55,58.76,52.23,92,82,3.85,RU,1567658708
boa vista,2.82,-60.67,80.6,74,0,2.24,BR,1567658318
longyearbyen,78.22,15.63,32.0,76,75,3.36,NO,1567658500
ewa beach,21.32,-158.01,86.0,66,20,9.17,US,1567658709
wagar,31.44,-87.99,78.01,84,0,5.75,US,1567658709
cefalu,38.04,14.02,73.0,85,71,3.0,IT,1567658709
inhambane,-23.87,35.38,72.39,57,0,5.55,MZ,1567658534
lahaina,20.87,-156.68,84.2,69,75,10.29,US,1567658620
provideniya,64.42,-173.23,53.6,76,75,11.18,RU,1567658497
katangli,51.71,143.23,58.71,97,100,5.12,RU,1567658710
cururupu,-1.82,-44.87,71.49,95,15,2.62,BR,1567658523
pemba,-12.97,40.52,74.91,77,100,9.66,MZ,1567658710
ranong,9.96,98.62,78.8,94,0,2.24,TH,1567658711
kudahuvadhoo,2.67,72.89,83.19,78,85,11.88,MV,1567658556
okhotsk,59.36,143.24,67.53,39,0,12.12,RU,1567658387
naryan-mar,67.67,53.09,52.77,93,97,6.04,RU,1567658712
pierre,44.37,-100.35,71.01,64,1,11.41,US,1567658712
wasilla,61.58,-149.44,60.8,62,90,3.36,US,1567658442
marsh harbour,26.54,-77.06,83.91,79,0,23.31,BS,1567658450
boende,-0.28,20.88,72.75,78,36,2.17,CD,1567658713
coquimbo,-29.95,-71.34,51.8,93,90,3.36,CL,1567658495
nenjiang,49.17,125.23,74.01,77,64,5.68,CN,1567658713
tiznit,29.7,-9.73,66.09,86,0,3.53,MA,1567658713
kedrovyy,56.17,91.82,59.0,62,0,5.21,RU,1567658714
pueblo bello,8.2,-76.53,74.01,99,100,2.82,CO,1567658714
souillac,45.6,-0.6,55.4,82,0,4.7,FR,1567658334
rocha,-34.48,-54.34,34.23,88,22,3.11,UY,1567658552
kimbe,-5.56,150.15,83.73,58,18,7.34,PG,1567658715
kang,-23.67,22.79,64.83,28,0,9.53,BW,1567658715
bismarck,46.81,-100.78,69.8,82,40,14.99,US,1567658710
aksarka,66.56,67.8,58.71,67,5,13.91,RU,1567658585
ngaoundere,7.32,13.58,66.45,94,93,1.9,CM,1567658716
cotonou,6.37,2.43,77.0,94,40,13.87,BJ,1567658716
barra patuca,15.8,-84.28,83.91,79,84,11.27,HN,1567658716
paka,4.15,15.03,69.15,97,95,3.47,CF,1567658717
springbok,-29.67,17.88,55.65,74,30,5.97,ZA,1567658537
dauriya,49.93,116.85,71.67,57,55,5.79,RU,1567658717
darnah,32.77,22.64,78.87,61,0,6.71,LY,1567658717
bogorodsk,56.1,43.52,57.0,81,0,2.24,RU,1567658717
jaru,-10.43,-62.48,81.93,47,58,2.26,BR,1567658718
acapulco,16.86,-99.88,82.4,78,40,3.36,MX,1567658718
barabinsk,55.35,78.35,56.37,67,58,4.09,RU,1567658718
coruripe,-10.12,-36.18,66.81,95,0,3.44,BR,1567658718
bontang,0.12,117.47,94.35,42,49,4.5,ID,1567658556
mikuni,36.22,136.15,86.0,62,75,8.05,JP,1567658719
diego de almagro,-26.39,-70.05,44.31,76,0,1.72,CL,1567658719
port alfred,-33.59,26.89,57.0,90,100,5.01,ZA,1567658457
tasiilaq,65.61,-37.64,46.4,49,100,14.99,GL,1567658503
talara,-4.58,-81.27,61.59,93,2,15.59,PE,1567658540
yunyang,32.84,110.81,78.87,62,46,4.76,CN,1567658720
guanica,17.97,-66.91,82.0,93,70,3.22,PR,1567658720
leningradskiy,69.38,178.42,38.91,93,93,3.49,RU,1567658518
los llanos de aridane,28.66,-17.92,71.6,56,25,8.05,ES,1567658365
smolenka,54.15,22.76,59.61,71,75,12.5,PL,1567658721
san antonio,-33.58,-71.61,55.4,71,90,12.75,CL,1567658721
vila,45.18,8.4,66.99,100,40,5.82,IT,1567658486
zawiercie,50.48,19.43,54.0,93,0,3.36,PL,1567658722
aswan,24.09,32.9,86.97,25,78,15.21,EG,1567658300
misratah,32.38,15.09,78.69,73,0,12.8,LY,1567658722
piedras negras,28.7,-100.52,84.2,51,1,6.93,MX,1567658722
delijan,33.99,50.69,71.31,28,0,5.48,IR,1567658723
khatassy,61.91,129.64,55.4,76,75,8.95,RU,1567658723
hatillo,18.49,-66.83,82.0,90,100,4.0,PR,1567658724
gweta,-20.21,25.26,67.53,27,0,16.08,BW,1567658724
xixiang,22.58,113.87,91.99,70,75,8.95,CN,1567658724
koson,39.04,65.59,73.4,43,0,2.24,UZ,1567658724
ulladulla,-35.36,150.48,66.2,59,40,10.29,AU,1567658725
tura,64.27,100.22,46.65,41,27,13.53,RU,1567658502
vila velha,-3.71,-38.6,78.8,78,75,13.87,BR,1567658414
nome,30.04,-94.42,80.01,88,1,2.04,US,1567658255
maldonado,-34.91,-54.96,46.4,64,75,14.99,UY,1567658725
poum,41.28,20.71,51.8,81,0,3.36,MK,1567658725
ambon,47.55,-2.56,57.99,100,0,5.82,FR,1567658565
atambua,-9.11,124.89,76.89,65,77,4.27,ID,1567658726
eenhana,-17.48,16.34,63.21,28,0,6.24,NA,1567658726
deputatskiy,69.3,139.9,49.71,37,23,8.39,RU,1567658594
pa sang,18.53,98.94,91.99,62,75,3.36,TH,1567658546
saint george,39.45,22.34,73.99,59,20,1.77,GR,1567658169
sao mateus,-18.72,-39.86,66.99,98,6,2.42,BR,1567658727
ugoofaaru,5.67,73.0,82.83,77,56,7.61,MV,1567658727
el alto,-16.5,-68.19,37.4,93,75,4.7,BO,1567658727
porto novo,-23.68,-45.44,60.8,93,75,4.7,BR,1567658728
mallaig,54.21,-111.37,54.21,93,39,7.56,CA,1567658728
ilulissat,69.22,-51.1,37.4,93,100,7.54,GL,1567658481
padang,-0.92,100.36,81.21,83,53,15.84,ID,1567658355
rawson,-43.3,-65.11,33.33,77,26,6.73,AR,1567658453
lujiang,31.26,117.28,75.2,83,75,6.71,CN,1567658729
tual,-5.67,132.75,77.25,84,91,15.08,ID,1567658729
lavrentiya,65.58,-170.99,43.59,97,100,6.91,RU,1567658593
waipawa,-39.94,176.59,57.0,87,100,4.0,NZ,1567658475
stolin,51.89,26.85,58.35,77,0,3.29,BY,1567658729
taoudenni,22.68,-3.98,93.99,24,11,5.97,ML,1567658561
goderich,43.74,-81.71,64.0,71,9,1.99,CA,1567658394
esso,55.93,158.7,49.89,54,62,5.32,RU,1567658730
harlingen,53.18,5.41,59.0,82,75,17.22,NL,1567658730
cuite,-6.48,-36.15,68.07,87,2,17.18,BR,1567658730
vao,59.1,26.19,55.47,82,84,10.2,EE,1567658554
kambar,27.59,68.0,105.51,30,1,5.64,PK,1567658731
gamba,28.28,88.52,54.03,44,34,5.91,CN,1567658598
markapur,15.74,79.27,80.49,68,88,20.31,IN,1567658731
bara,10.41,10.6,74.37,88,99,9.1,NG,1567658732
sao miguel do tapuio,-5.5,-41.32,74.73,55,9,4.7,BR,1567658732
areka,7.07,37.71,70.23,81,38,2.51,ET,1567658732
halifax,44.65,-63.58,70.0,100,90,12.75,CA,1567658289
mangit,40.6,70.96,77.0,36,15,2.24,UZ,1567658733
silchar,24.83,92.8,86.61,75,100,2.89,IN,1567658733
san cristobal,14.68,-86.92,66.27,88,97,4.0,HN,1567658479
sao joao da barra,-21.64,-41.05,71.13,87,97,7.2,BR,1567658571
zhob,31.34,69.45,82.11,5,0,2.91,PK,1567658734
hasaki,35.73,140.83,80.6,78,75,4.7,JP,1567658524
bucerias,20.76,-105.33,82.4,78,90,2.73,MX,1567658734
sarahan,31.51,77.79,69.33,76,19,4.38,IN,1567658734
rosetta,31.4,30.42,79.23,67,0,7.67,EG,1567658735
iisalmi,63.56,27.19,50.0,100,0,6.93,FI,1567658469
dushanbe,38.58,68.79,77.0,38,20,2.24,TJ,1567658735
papara,-3.98,-38.73,78.8,78,75,13.87,BR,1567658735
iquitos,-3.75,-73.25,75.2,94,0,6.93,PE,1567658736
verkhniye tatyshly,56.29,55.86,53.31,92,97,4.92,RU,1567658736
bolshoye selo,57.72,38.93,57.09,87,97,4.54,RU,1567658736
kandiari,26.92,68.52,102.09,37,18,8.01,PK,1567658736
doctor juan leon mallorquin,-25.4,-55.27,64.4,52,0,9.17,PY,1567658737
antofagasta,-23.65,-70.4,57.2,76,90,4.7,CL,1567658487
teykovo,56.86,40.54,53.67,95,100,4.85,RU,1567658737
lebu,8.96,38.73,59.0,87,75,4.7,ET,1567658477
qasigiannguit,68.82,-51.19,37.4,93,100,5.35,GL,1567658738
leh,34.16,77.58,53.67,24,0,3.94,IN,1567658738
lodwar,3.12,35.6,82.29,42,30,17.96,KE,1567658738
hay river,60.82,-115.79,53.6,93,90,2.24,CA,1567658523
kirakira,-10.46,161.92,76.35,73,40,18.32,SB,1567658739
maniitsoq,65.42,-52.9,40.17,95,100,22.03,GL,1567658739
galanta,48.19,17.73,57.0,87,0,6.93,SK,1567658739
camacha,33.08,-16.33,71.6,78,75,10.29,PT,1567658739
painesville,41.72,-81.25,60.8,87,40,10.38,US,1567658740
cabo san lucas,22.89,-109.91,84.0,58,5,16.11,MX,1567658330
boguchany,58.38,97.46,51.87,90,100,3.67,RU,1567658740
samoded,63.61,40.52,54.39,91,45,4.38,RU,1567658740
susteren,51.07,5.85,55.4,93,15,9.17,NL,1567658741
pundaguitan,6.37,126.17,82.11,81,100,13.42,PH,1567658741
labuhan,-2.54,115.51,96.87,32,28,3.36,ID,1567658588
jalu,29.03,21.55,76.71,73,0,10.85,LY,1567658741
henties bay,-22.12,14.28,55.0,89,0,1.99,NA,1567658489
puerto leguizamo,-0.19,-74.78,71.13,93,92,1.7,CO,1567658742
port blair,11.67,92.75,81.93,82,100,23.29,IN,1567658486
namatanai,-3.66,152.44,76.89,88,100,16.73,PG,1567658742
adrar,27.87,-0.29,77.0,41,0,10.29,DZ,1567658412
caraballeda,10.61,-66.85,77.0,88,40,2.24,VE,1567658743
vardo,39.62,-77.74,75.2,56,1,10.29,US,1567658520
sinnamary,5.38,-52.96,79.77,82,67,17.47,GF,1567658561
sao miguel do araguaia,-13.28,-50.16,72.21,29,0,2.44,BR,1567658744
megion,61.04,76.11,53.6,93,0,2.24,RU,1567658744
fortuna,40.6,-124.16,61.0,87,90,12.86,US,1567658475
humaita,-24.93,-65.37,53.6,71,90,3.36,AR,1567658745
abu samrah,35.3,37.18,77.25,58,0,11.03,SY,1567658745
saint anthony,43.97,-111.68,75.2,35,1,9.17,US,1567658506
nadvoitsy,63.89,34.27,56.19,80,42,8.23,RU,1567658746
esmeraldas,-19.76,-44.31,71.6,64,0,4.7,BR,1567658746
portland,43.66,-70.25,66.2,68,1,12.75,US,1567658327
xinzhou,38.41,112.73,79.41,26,0,5.79,CN,1567658746
kushiro,43.11,144.15,68.0,77,75,11.41,JP,1567658747
gold coast,-28.0,153.41,91.0,57,0,9.17,AU,1567658535
lamesa,32.74,-101.95,75.2,47,75,8.05,US,1567658747
kalianget,-7.35,109.91,91.4,31,20,12.75,ID,1567658747
kulhudhuffushi,6.62,73.07,82.47,77,96,7.87,MV,1567658748
iqaluit,63.75,-68.52,37.4,93,75,3.36,CA,1567658462
vilcun,-38.65,-72.23,51.8,37,0,10.29,CL,1567658748
svetlogorsk,53.14,59.15,48.2,87,49,6.71,RU,1567658508
birjand,32.86,59.22,73.4,17,0,6.93,IR,1567658749
mitsamiouli,-11.38,43.28,73.4,78,20,6.93,KM,1567658607
lokoja,7.8,6.74,72.21,96,100,4.74,NG,1567658749
veraval,49.65,0.71,57.2,93,0,4.7,FR,1567658456
sao gabriel da cachoeira,-0.13,-67.09,75.45,78,81,0.96,BR,1567658749
gravatai,-29.94,-50.99,48.99,76,20,4.7,BR,1567658597
bima,-8.45,118.73,92.55,38,30,1.41,ID,1567658750
yerkoy,39.64,34.47,67.53,34,38,7.02,TR,1567658750
duluth,46.77,-92.13,59.0,87,90,4.7,US,1567658645
vostok,46.45,135.83,76.53,56,62,10.16,RU,1567658575
hofn,64.25,-15.21,31.53,87,49,1.99,IS,1567658589
shahrud,36.42,54.97,59.07,50,0,2.98,IR,1567658751
tota,5.56,-72.99,43.77,93,27,3.06,CO,1567658751
lorengau,-2.02,147.27,81.57,80,100,7.61,PG,1567658467
viedma,-40.81,-62.99,39.99,56,99,4.32,AR,1567658514
bowen,-20.01,148.25,91.4,10,0,6.93,AU,1567658563
lucea,18.44,-78.17,84.2,70,20,2.24,JM,1567658752
lac du bonnet,50.25,-96.06,63.0,72,100,5.01,CA,1567658753
ribeira grande,38.52,-28.7,71.67,75,49,11.07,PT,1567658468
chokurdakh,70.62,147.9,49.17,51,59,9.98,RU,1567658455
najran,17.54,44.22,82.4,23,40,10.94,SA,1567658428
arkhangelskaya,45.68,40.28,68.0,46,49,9.28,RU,1567658753
zagora,42.81,18.2,73.4,100,0,1.12,BA,1567658754
dingle,11.0,122.67,87.87,63,85,11.65,PH,1567658478
wanning,48.64,13.53,55.0,93,20,1.12,AT,1567658754
salym,60.06,71.48,59.43,65,7,4.23,RU,1567658754
sabinopolis,-18.67,-43.08,57.09,94,0,2.68,BR,1567658755
colares,38.8,-9.45,66.0,77,0,12.75,PT,1567658755
victor harbor,-35.55,138.62,62.6,59,20,13.87,AU,1567658572
anori,-3.74,-61.66,77.25,70,86,1.48,BR,1567658755
blairmore,49.61,-114.44,61.0,48,1,9.17,CA,1567658756
tommot,58.97,126.27,58.35,60,82,3.27,RU,1567658756
